ID;ICAO;Name;Country;Active
1743;CMK;Chernomor-Avia;Russia;N
1744;CBM;Cherokee Express;United States;N
1745;CCY;Cherry Air;United States;N
1746;CAB;Chesapeake Air Service;United States;N
1747;CVR;Chevron U.S.A;United States;N
1748;CYA;Cheyenne Airways;United States;N
1749;CGO;Chicago Air;United States;N
1750;WDY;Chicago Express;United States;N
1751;RAT;Chief Rat Flight Services;South Africa;N
1752;CCH;Chilchota Taxi Aereo;Mexico;N
1753;DES;Chilcotin Caribou Aviation;Canada;N
1754;CAD;Chilliwack Aviation;Canada;N
1755;ETN;Chim-Nir Aviation;Israel;N
1756;CAL;China Airlines;Taiwan;Y
1757;CKK;China Cargo Airlines;China;N
1758;CES;China Eastern Airlines;China;Y
1759;HXA;China Express Airlines;China;N
1760;CFA;China Flying Dragon Aviation;China;N
1761;CTH;China General Aviation Corporation;China;N
1762;CAG;China National Aviation Corporation;China;N
1763;CBF;China Northern Airlines;China;N
1764;CNW;China Northwest Airlines;China;N
1765;CHC;China Ocean Helicopter Corporation;China;N
1766;CYZ;China Postal Airlines;China;N
1767;CSN;China Southern Airlines;China;Y
1768;CXN;China Southwest Airlines;China;N
1769;CUA;China United Airlines;China;Y
1770;CXH;China Xinhua Airlines;China;N
1771;CYH;Yunnan Airlines;China;Y
1772;CGU;Chinguetti Airlines;Mauritania;N
1773;CEP;Chipola Aviation;United States;N
1774;CPW;Chippewa Air Commuter;United States;N
1775;CHF;Chitaavia;Russia;N
1776;CAS;Christman Air System;United States;N
1777;OEC;Christophorus Flugrettungsverein;Austria;N
1778;CHO;Chrome Air Services;United States;N
1779;CHU;Church Aircraft;United States;N
1780;CIU;Cielos Airlines;Peru;N
1781;CIM;Cimber Air;Denmark;Y
1782;RRU;Cirrus;Chile;N
1783;NTS;Cirrus Air;United States;N
1784;RUS;Cirrus Airlines;Germany;Y
1785;JTI;Cirrus Middle East;Lebanon;N
1786;FIV;Citationshares;United States;N
1787;XCX;Citibank;United States;N
1788;HZX;Citic General Aviation;China;N
1789;SDR;City Airline;Sweden;Y
1790;CIX;City Connexion Airlines;Burundi;Y
1791;XBG;City of Bangor;United States;N
1792;BCY;CityJet;Ireland;Y
1793;CAQ;Cityair (Chester) Limited;United Kingdom;N
1794;CII;Cityfly;Italy;N
1795;CFE;BA CityFlyer;United Kingdom;Y
1796;CNB;Cityline Hungary;Hungary;N
1797;HSR;Citylink Airlines;United States;N
1798;CIW;Civair Airways;South Africa;N
1799;BKR;Civil Air Patrol South Carolina Wing;United States;N
1800;CAT;Civil Air Transport;Taiwan;N
1801;CIA;Civil Aviation Authority;Slovakia;N
1802;CIV;Civil Aviation Authority of New Zealand;New Zealand;N
1803;CBA;Civil Aviation Inspectorate of the Czech Republic;Czech Republic;N
1804;FMC;Claessens International Limited;United Kingdom;N
